Symptoms,Disease
itchiness of eye,corneal abrasion
lacrimation,corneal abrasion
pain in eye,corneal abrasion
symptoms of eye,corneal abrasion
white discharge from eye,corneal abrasion
diminished vision,corneal disorder
double vision,corneal disorder
eye redness,corneal disorder
foreign body sensation in eye,corneal disorder
itchiness of eye,corneal disorder
lacrimation,corneal disorder
pain in eye,corneal disorder
spots or clouds in vision,corneal disorder
symptoms of eye,corneal disorder
white discharge from eye,corneal disorder
burning chest pain,coronary atherosclerosis
chest tightness,coronary atherosclerosis
fatigue,coronary atherosclerosis
irregular heartbeat,coronary atherosclerosis
leg cramps or spasms,coronary atherosclerosis
palpitations,coronary atherosclerosis
sharp chest pain,coronary atherosclerosis
shortness of breath,coronary atherosclerosis
abnormal involuntary movements,cranial nerve palsy
abnormal movement of eyelid,cranial nerve palsy
difficulty speaking,cranial nerve palsy
diminished vision,cranial nerve palsy
double vision,cranial nerve palsy
facial pain,cranial nerve palsy
headache,cranial nerve palsy
symptoms of the face,cranial nerve palsy
blood in stool,crohn disease
burning abdominal pain,crohn disease
diarrhea,crohn disease
nausea,crohn disease
pain of the anus,crohn disease
rectal bleeding,crohn disease
regurgitation,crohn disease
regurgitation.1,crohn disease
sharp abdominal pain,crohn disease
vomiting,crohn disease
abnormal breathing sounds,croup
coryza,croup
cough,croup
fever,croup
hoarse voice,croup
nasal congestion,croup
pulling at ears,croup
shortness of breath,croup
sore throat,croup
vomiting,croup
wheezing,croup
foot or toe pain,crushing injury
hand or finger pain,crushing injury
hand or finger stiffness or tightness,crushing injury
hand or finger swelling,crushing injury
knee swelling,crushing injury
neck swelling,crushing injury
cross-eyed,cryptococcosis
depressive or psychotic symptoms,cryptococcosis
lack of growth,cryptorchidism
swelling of scrotum,cryptorchidism
symptoms of the scrotum and testes,cryptorchidism
emotional symptoms,cushing syndrome
weight gain,cushing syndrome
abnormal movement of eyelid,cyst of the eyelid
diminished vision,cyst of the eyelid
mass on eyelid,cyst of the eyelid
muscle swelling,cyst of the eyelid
skin growth,cyst of the eyelid
cough,cystic fibrosis
decreased appetite,cystic fibrosis
feeling ill,cystic fibrosis
intermenstrual bleeding,cystic fibrosis
elbow weakness,cysticercosis
headache,cysticercosis
seizures,cysticercosis
shortness of breath,cysticercosis
back pain,cystitis
blood in urine,cystitis
frequent urination,cystitis
involuntary urination,cystitis
lower abdominal pain,cystitis
painful urination,cystitis
pelvic pain,cystitis
retention of urine,cystitis
sharp abdominal pain,cystitis
side pain,cystitis
suprapubic pain,cystitis
symptoms of bladder,cystitis
difficulty speaking,decubitus ulcer
incontinence of stool,decubitus ulcer
skin lesion,decubitus ulcer
skin on leg or foot looks infected,decubitus ulcer
abnormal appearing skin,deep vein thrombosis (dvt)
arm swelling,deep vein thrombosis (dvt)
foot or toe swelling,deep vein thrombosis (dvt)
leg cramps or spasms,deep vein thrombosis (dvt)
leg pain,deep vein thrombosis (dvt)
leg stiffness or tightness,deep vein thrombosis (dvt)
leg swelling,deep vein thrombosis (dvt)
arm pain,degenerative disc disease
back pain,degenerative disc disease
hip pain,degenerative disc disease
joint pain,degenerative disc disease
leg pain,degenerative disc disease
loss of sensation,degenerative disc disease
low back pain,degenerative disc disease
lower body pain,degenerative disc disease
neck pain,degenerative disc disease
paresthesia,degenerative disc disease
shoulder pain,degenerative disc disease
abnormal involuntary movements,dementia
delusions or hallucinations,dementia
depressive or psychotic symptoms,dementia
disturbance of memory,dementia
focal weakness,dementia
hostile behavior,dementia
insomnia,dementia
problems with movement,dementia
sore throat,dengue fever
wrist pain,dengue fever
ear pain,dental caries
facial pain,dental caries
gum pain,dental caries
jaw swelling,dental caries
mouth pain,dental caries
neck swelling,dental caries
pain in gums,dental caries
peripheral edema,dental caries
restlessness,dental caries
skin irritation,dental caries
skin swelling,dental caries
toothache,dental caries
abusing alcohol,depression
anxiety and nervousness,depression
delusions or hallucinations,depression
depression,depression
depressive or psychotic symptoms,depression
disturbance of memory,depression
drug abuse,depression
excessive anger,depression
hostile behavior,depression
insomnia,depression
temper problems,depression
abnormal appearing skin,dermatitis due to sun exposure
acne or pimples,dermatitis due to sun exposure
irregular appearing scalp,dermatitis due to sun exposure
lack of growth,dermatitis due to sun exposure
"skin dryness, peeling, scaliness, or roughness",dermatitis due to sun exposure
skin lesion,dermatitis due to sun exposure
skin moles,dermatitis due to sun exposure
skin rash,dermatitis due to sun exposure
skin swelling,dermatitis due to sun exposure
thirst,diabetes
weight gain,diabetes
dizziness,diabetes insipidus
emotional symptoms,diabetes insipidus
blood in stool,diabetic kidney disease
impotence,diabetic kidney disease
foot or toe pain,diabetic peripheral neuropathy
foot or toe stiffness or tightness,diabetic peripheral neuropathy
foot or toe swelling,diabetic peripheral neuropathy
leg pain,diabetic peripheral neuropathy
loss of sensation,diabetic peripheral neuropathy
lymphedema,diabetic peripheral neuropathy
paresthesia,diabetic peripheral neuropathy
problems with movement,diabetic peripheral neuropathy
skin lesion,diabetic peripheral neuropathy
abnormal movement of eyelid,diabetic retinopathy
diminished vision,diabetic retinopathy
double vision,diabetic retinopathy
foreign body sensation in eye,diabetic retinopathy
itchiness of eye,diabetic retinopathy
lacrimation,diabetic retinopathy
pain in eye,diabetic retinopathy
spots or clouds in vision,diabetic retinopathy
symptoms of eye,diabetic retinopathy
ankle pain,dislocation of the ankle
ankle swelling,dislocation of the ankle
emotional symptoms,dislocation of the ankle
foot or toe pain,dislocation of the ankle
arm pain,dislocation of the elbow
arm stiffness or tightness,dislocation of the elbow
depression,dislocation of the elbow
elbow pain,dislocation of the elbow
elbow swelling,dislocation of the elbow
irritable infant,dislocation of the elbow
wrist pain,dislocation of the elbow
elbow weakness,dislocation of the foot
foot or toe pain,dislocation of the foot
vomiting,dislocation of the foot
abusing alcohol,dislocation of the hip
hip pain,dislocation of the hip
leg pain,dislocation of the hip
knee pain,dislocation of the knee
knee stiffness or tightness,dislocation of the knee
knee swelling,dislocation of the knee
knee pain,dislocation of the patella
knee stiffness or tightness,dislocation of the patella
knee swelling,dislocation of the patella
arm pain,dislocation of the shoulder
arm stiffness or tightness,dislocation of the shoulder
arm swelling,dislocation of the shoulder
neck mass,dislocation of the shoulder
shoulder pain,dislocation of the shoulder
wrist pain,dislocation of the shoulder
arm pain,dislocation of the wrist
depression,dislocation of the wrist
elbow weakness,dislocation of the wrist
hand or finger pain,dislocation of the wrist
blood in stool,diverticulitis
burning abdominal pain,diverticulitis
chills,diverticulitis
constipation,diverticulitis
diarrhea,diverticulitis
fever,diverticulitis
lower abdominal pain,diverticulitis
nausea,diverticulitis
sharp abdominal pain,diverticulitis
side pain,diverticulitis
upper abdominal pain,diverticulitis
vomiting,diverticulitis
blood in stool,diverticulosis
diarrhea,diverticulosis
heartburn,diverticulosis
lower abdominal pain,diverticulosis
melena,diverticulosis
nausea,diverticulosis
rectal bleeding,diverticulosis
sharp abdominal pain,diverticulosis
upper abdominal pain,diverticulosis
vomiting,diverticulosis
abusing alcohol,drug abuse
antisocial behavior,drug abuse
anxiety and nervousness,drug abuse
delusions or hallucinations,drug abuse
depression,drug abuse
depressive or psychotic symptoms,drug abuse
drug abuse,drug abuse
hostile behavior,drug abuse
smoking problems,drug abuse
sweating,drug abuse
abnormal involuntary movements,drug abuse (barbiturates)
anxiety and nervousness,drug abuse (barbiturates)
delusions or hallucinations,drug abuse (barbiturates)
depression,drug abuse (barbiturates)
drug abuse,drug abuse (barbiturates)
hostile behavior,drug abuse (barbiturates)
abusing alcohol,drug abuse (cocaine)
delusions or hallucinations,drug abuse (cocaine)
depression,drug abuse (cocaine)
depressive or psychotic symptoms,drug abuse (cocaine)
drug abuse,drug abuse (cocaine)
excessive anger,drug abuse (cocaine)
fears and phobias,drug abuse (cocaine)
hostile behavior,drug abuse (cocaine)
sharp chest pain,drug abuse (cocaine)
abusing alcohol,drug abuse (methamphetamine)
anxiety and nervousness,drug abuse (methamphetamine)
depressive or psychotic symptoms,drug abuse (methamphetamine)
drug abuse,drug abuse (methamphetamine)
feeling ill,drug abuse (methamphetamine)
hostile behavior,drug abuse (methamphetamine)
palpitations,drug abuse (methamphetamine)
shortness of breath,drug abuse (methamphetamine)
abusing alcohol,drug abuse (opioids)
anxiety and nervousness,drug abuse (opioids)
delusions or hallucinations,drug abuse (opioids)
depression,drug abuse (opioids)
depressive or psychotic symptoms,drug abuse (opioids)
drug abuse,drug abuse (opioids)
excessive anger,drug abuse (opioids)
insomnia,drug abuse (opioids)
restlessness,drug abuse (opioids)
temper problems,drug abuse (opioids)
abusing alcohol,drug poisoning due to medication
depression,drug poisoning due to medication
depressive or psychotic symptoms,drug poisoning due to medication
drug abuse,drug poisoning due to medication
lip swelling,drug poisoning due to medication
sleepiness,drug poisoning due to medication
slurring words,drug poisoning due to medication
abnormal appearing skin,drug reaction
allergic reaction,drug reaction
dizziness,drug reaction
headache,drug reaction
itching of skin,drug reaction
nausea,drug reaction
peripheral edema,drug reaction
shortness of breath,drug reaction
skin rash,drug reaction
throat swelling,drug reaction
vomiting,drug reaction
anxiety and nervousness,drug withdrawal
chills,drug withdrawal
depression,drug withdrawal
dizziness,drug withdrawal
nausea,drug withdrawal
sharp abdominal pain,drug withdrawal
vomiting,drug withdrawal
abnormal movement of eyelid,dry eye of unknown cause
diminished vision,dry eye of unknown cause
double vision,dry eye of unknown cause
eye redness,dry eye of unknown cause
foreign body sensation in eye,dry eye of unknown cause
itchiness of eye,dry eye of unknown cause
lacrimation,dry eye of unknown cause
pain in eye,dry eye of unknown cause
spots or clouds in vision,dry eye of unknown cause
symptoms of eye,dry eye of unknown cause
white discharge from eye,dry eye of unknown cause
knee lump or mass,dumping syndrome
nausea,dumping syndrome
vomiting,dumping syndrome
anxiety and nervousness,dysthymic disorder
depression,dysthymic disorder
depressive or psychotic symptoms,dysthymic disorder
disturbance of memory,dysthymic disorder
excessive anger,dysthymic disorder
insomnia,dysthymic disorder
loss of sex drive,dysthymic disorder
slurring words,dysthymic disorder
temper problems,dysthymic disorder
bleeding from ear,ear drum damage
cough,ear drum damage
diminished hearing,ear drum damage
ear pain,ear drum damage
fluid in ear,ear drum damage
nasal congestion,ear drum damage
plugged feeling in ear,ear drum damage
pulling at ears,ear drum damage
pus draining from ear,ear drum damage
redness in ear,ear drum damage
ringing in ear,ear drum damage
cough,ear wax impaction
diminished hearing,ear wax impaction
ear pain,ear wax impaction
fever,ear wax impaction
fluid in ear,ear wax impaction
nasal congestion,ear wax impaction
plugged feeling in ear,ear wax impaction
pulling at ears,ear wax impaction
ringing in ear,ear wax impaction
sinus congestion,ear wax impaction
abusing alcohol,eating disorder
acne or pimples,eating disorder
anxiety and nervousness,eating disorder
decreased appetite,eating disorder
depression,eating disorder
depressive or psychotic symptoms,eating disorder
difficulty eating,eating disorder
insomnia,eating disorder
weight gain,eating disorder
dizziness,ectopic pregnancy
intermenstrual bleeding,ectopic pregnancy
lower abdominal pain,ectopic pregnancy
nausea,ectopic pregnancy
pain during pregnancy,ectopic pregnancy
pelvic pain,ectopic pregnancy
sharp abdominal pain,ectopic pregnancy
vaginal discharge,ectopic pregnancy
cross-eyed,edward syndrome
suprapubic pain,edward syndrome
cough,emphysema
emotional symptoms,emphysema
sharp chest pain,emphysema
shortness of breath,emphysema
cough,empyema
leg pain,empyema
sharp chest pain,empyema
shortness of breath,empyema
disturbance of memory,encephalitis
dizziness,encephalitis
headache,encephalitis
insomnia,encephalitis
loss of sensation,encephalitis
dizziness,endocarditis
increased heart rate,endocarditis
irregular heartbeat,endocarditis
palpitations,endocarditis
sharp chest pain,endocarditis
shortness of breath,endocarditis
absence of menstruation,endometrial cancer
hot flashes,endometrial cancer
intermenstrual bleeding,endometrial cancer
vaginal bleeding after menopause,endometrial cancer
vaginal itching,endometrial cancer
back weakness,endometrial hyperplasia
heavy menstrual flow,endometrial hyperplasia
involuntary urination,endometrial hyperplasia
unpredictable menstruation,endometrial hyperplasia
vaginal bleeding after menopause,endometrial hyperplasia
burning abdominal pain,endometriosis
heavy menstrual flow,endometriosis
hot flashes,endometriosis
infertility,endometriosis
intermenstrual bleeding,endometriosis
lower abdominal pain,endometriosis
painful menstruation,endometriosis
pelvic pain,endometriosis
sharp abdominal pain,endometriosis
diminished vision,endophthalmitis
eye redness,endophthalmitis
itchiness of eye,endophthalmitis
pain in eye,endophthalmitis
painful urination,endophthalmitis
swollen eye,endophthalmitis
abnormal appearing skin,envenomation from spider or animal bite
allergic reaction,envenomation from spider or animal bite
arm swelling,envenomation from spider or animal bite
fluid retention,envenomation from spider or animal bite
foot or toe swelling,envenomation from spider or animal bite
hand or finger swelling,envenomation from spider or animal bite
itching of skin,envenomation from spider or animal bite
paresthesia,envenomation from spider or animal bite
skin swelling,envenomation from spider or animal bite
diminished vision,ependymoma
emotional symptoms,ependymoma
headache,ependymoma
pain in eye,ependymoma
blood in urine,erectile dysfunction
excessive urination at night,erectile dysfunction
frequent urination,erectile dysfunction
impotence,erectile dysfunction
involuntary urination,erectile dysfunction
loss of sex drive,erectile dysfunction
pain during intercourse,erectile dysfunction
pain in testicles,erectile dysfunction
retention of urine,erectile dysfunction
symptoms of prostate,erectile dysfunction
decreased appetite,esophageal cancer
hoarse voice,esophageal cancer
sharp abdominal pain,esophageal cancer
shortness of breath,esophageal cancer
stomach bloating,esophageal cancer
dizziness,esophageal varices
nausea,esophageal varices
burning abdominal pain,esophagitis
chest tightness,esophagitis
cough,esophagitis
difficulty in swallowing,esophagitis
heartburn,esophagitis
nausea,esophagitis
sharp abdominal pain,esophagitis
sharp chest pain,esophagitis
shortness of breath,esophagitis
sore throat,esophagitis
upper abdominal pain,esophagitis
vomiting,esophagitis
abnormal involuntary movements,extrapyramidal effect of drugs
anxiety and nervousness,extrapyramidal effect of drugs
arm stiffness or tightness,extrapyramidal effect of drugs
headache,extrapyramidal effect of drugs
restlessness,extrapyramidal effect of drugs
seizures,extrapyramidal effect of drugs
cross-eyed,eye alignment disorder
diminished vision,eye alignment disorder
double vision,eye alignment disorder
eye deviation,eye alignment disorder
eye moves abnormally,eye alignment disorder
irregular appearing scalp,eye alignment disorder
lack of growth,eye alignment disorder
pain in eye,eye alignment disorder
symptoms of eye,eye alignment disorder
groin pain,female genitalia infection
skin lesion,female genitalia infection
skin swelling,female genitalia infection
vaginal discharge,female genitalia infection
vaginal pain,female genitalia infection
vulvar irritation,female genitalia infection
vulvar sore,female genitalia infection
infertility,female infertility of unknown cause
long menstrual periods,female infertility of unknown cause
pain during intercourse,female infertility of unknown cause
scanty menstrual flow,female infertility of unknown cause
unpredictable menstruation,female infertility of unknown cause
depressive or psychotic symptoms,fetal alcohol syndrome
emotional symptoms,fetal alcohol syndrome
excessive anger,fetal alcohol syndrome
bleeding or discharge from nipple,fibrocystic breast disease
intermenstrual bleeding,fibrocystic breast disease
lump or mass of breast,fibrocystic breast disease
pain or soreness of breast,fibrocystic breast disease
ache all over,fibromyalgia
arm pain,fibromyalgia
back pain,fibromyalgia
headache,fibromyalgia
hip pain,fibromyalgia
leg pain,fibromyalgia
low back pain,fibromyalgia
muscle pain,fibromyalgia
neck pain,fibromyalgia
sharp chest pain,fibromyalgia
ankle pain,flat feet
foot or toe pain,flat feet
knee pain,flat feet
problems with movement,flat feet
skin swelling,flat feet
diminished vision,floaters
foreign body sensation in eye,floaters
lacrimation,floaters
spots or clouds in vision,floaters
symptoms of eye,floaters
ache all over,flu
chills,flu
coryza,flu
cough,flu
diarrhea,flu
fever,flu
headache,flu
nausea,flu
sore throat,flu
vomiting,flu
fluid retention,fluid overload
hand or finger swelling,fluid overload
nausea,fluid overload
peripheral edema,fluid overload
sharp abdominal pain,fluid overload
sharp chest pain,fluid overload
shortness of breath,fluid overload
vomiting,fluid overload
difficulty breathing,folate deficiency
sharp abdominal pain,folate deficiency
sharp chest pain,folate deficiency
shortness of breath,folate deficiency
vomiting blood,folate deficiency
abnormal appearing skin,food allergy
allergic reaction,food allergy
cough,food allergy
hand or finger swelling,food allergy
itching of skin,food allergy
lip swelling,food allergy
nasal congestion,food allergy
skin rash,food allergy
vomiting,food allergy
bleeding from ear,foreign body in the ear
diminished hearing,foreign body in the ear
ear pain,foreign body in the ear
fluid in ear,foreign body in the ear
throat feels tight,foreign body in the ear
eye burns or stings,foreign body in the eye
eye redness,foreign body in the eye
foreign body sensation in eye,foreign body in the eye
itchiness of eye,foreign body in the eye
lacrimation,foreign body in the eye
pain in eye,foreign body in the eye
symptoms of eye,foreign body in the eye
white discharge from eye,foreign body in the eye
difficulty in swallowing,foreign body in the gastrointestinal tract
lump in throat,foreign body in the gastrointestinal tract
recent weight loss,foreign body in the gastrointestinal tract
sharp abdominal pain,foreign body in the gastrointestinal tract
vomiting,foreign body in the gastrointestinal tract
vomiting blood,foreign body in the gastrointestinal tract
cough,foreign body in the throat
difficulty in swallowing,foreign body in the throat
infant spitting up,foreign body in the throat
shortness of breath,foreign body in the throat
sore throat,foreign body in the throat
throat swelling,foreign body in the throat
vomiting,foreign body in the throat
emotional symptoms,foreign body in the vagina
painful urination,foreign body in the vagina
vaginal discharge,foreign body in the vagina
arm pain,fracture of the arm
arm stiffness or tightness,fracture of the arm
arm swelling,fracture of the arm
elbow pain,fracture of the arm
elbow swelling,fracture of the arm
shoulder pain,fracture of the arm
shoulder stiffness or tightness,fracture of the arm
wrist pain,fracture of the arm
wrist stiffness or tightness,fracture of the arm
wrist swelling,fracture of the arm
abusing alcohol,fracture of the facial bones
double vision,fracture of the facial bones
facial pain,fracture of the facial bones
headache,fracture of the facial bones
lip swelling,fracture of the facial bones
pain in eye,fracture of the facial bones
peripheral edema,fracture of the facial bones
redness in or around nose,fracture of the facial bones
swollen eye,fracture of the facial bones
foot or toe pain,fracture of the finger
foot or toe swelling,fracture of the finger
hand or finger pain,fracture of the finger
hand or finger stiffness or tightness,fracture of the finger
hand or finger swelling,fracture of the finger
ankle pain,fracture of the foot
ankle swelling,fracture of the foot
foot or toe pain,fracture of the foot
foot or toe stiffness or tightness,fracture of the foot
foot or toe swelling,fracture of the foot
foot or toe weakness,fracture of the foot
arm pain,fracture of the hand
arm stiffness or tightness,fracture of the hand
hand or finger pain,fracture of the hand
hand or finger stiffness or tightness,fracture of the hand
hand or finger swelling,fracture of the hand
wrist pain,fracture of the hand
wrist stiffness or tightness,fracture of the hand
wrist swelling,fracture of the hand
bones are painful,fracture of the jaw
facial pain,fracture of the jaw
jaw swelling,fracture of the jaw
mouth pain,fracture of the jaw
pain in eye,fracture of the jaw
peripheral edema,fracture of the jaw
ankle pain,fracture of the leg
ankle swelling,fracture of the leg
hip pain,fracture of the leg
knee pain,fracture of the leg
knee swelling,fracture of the leg
knee weakness,fracture of the leg
leg pain,fracture of the leg
leg stiffness or tightness,fracture of the leg
leg swelling,fracture of the leg
problems with movement,fracture of the leg
elbow pain,fracture of the neck
hip pain,fracture of the neck
leg pain,fracture of the neck
low back pain,fracture of the neck
lower body pain,fracture of the neck
bones are painful,fracture of the patella
hip pain,fracture of the patella
knee pain,fracture of the patella
knee swelling,fracture of the patella
leg pain,fracture of the patella
leg weakness,fracture of the patella
ache all over,fracture of the rib
back mass or lump,fracture of the rib
back pain,fracture of the rib
bones are painful,fracture of the rib
hip pain,fracture of the rib
hurts to breath,fracture of the rib
rib pain,fracture of the rib
sharp chest pain,fracture of the rib
shortness of breath,fracture of the rib
shoulder pain,fracture of the rib
side pain,fracture of the rib
arm pain,fracture of the shoulder
arm stiffness or tightness,fracture of the shoulder
bones are painful,fracture of the shoulder
neck swelling,fracture of the shoulder
shoulder pain,fracture of the shoulder
shoulder stiffness or tightness,fracture of the shoulder
shoulder swelling,fracture of the shoulder
depressive or psychotic symptoms,fracture of the skull
diminished hearing,fracture of the skull
drug abuse,fracture of the skull
headache,fracture of the skull
vomiting,fracture of the skull
cough,friedrich ataxia
ear pain,friedrich ataxia
knee lump or mass,friedrich ataxia
elbow weakness,frostbite
foot or toe pain,frostbite
sharp chest pain,frostbite
abnormal appearing skin,fungal infection of the hair
acne or pimples,fungal infection of the hair
irregular appearing scalp,fungal infection of the hair
itching of skin,fungal infection of the hair
itchy scalp,fungal infection of the hair
pelvic pain,fungal infection of the hair
"skin dryness, peeling, scaliness, or roughness",fungal infection of the hair
skin growth,fungal infection of the hair
skin irritation,fungal infection of the hair
skin lesion,fungal infection of the hair
skin rash,fungal infection of the hair
skin swelling,fungal infection of the hair
abnormal appearing skin,fungal infection of the skin
acne or pimples,fungal infection of the skin
irregular appearing scalp,fungal infection of the skin
itching of skin,fungal infection of the skin
itchy scalp,fungal infection of the skin
"skin dryness, peeling, scaliness, or roughness",fungal infection of the skin
skin lesion,fungal infection of the skin
skin rash,fungal infection of the skin
skin swelling,fungal infection of the skin
too little hair,fungal infection of the skin
foot or toe pain,ganglion cyst
hand or finger lump or mass,ganglion cyst
hand or finger pain,ganglion cyst
knee lump or mass,ganglion cyst
knee pain,ganglion cyst
knee swelling,ganglion cyst
leg pain,ganglion cyst
skin growth,ganglion cyst
wrist lump or mass,ganglion cyst
wrist swelling,ganglion cyst
sharp abdominal pain,gas gangrene
wrist pain,gas gangrene
burning abdominal pain,gastroesophageal reflux disease (gerd)
chest tightness,gastroesophageal reflux disease (gerd)
cough,gastroesophageal reflux disease (gerd)
difficulty in swallowing,gastroesophageal reflux disease (gerd)
hoarse voice,gastroesophageal reflux disease (gerd)
nausea,gastroesophageal reflux disease (gerd)
regurgitation,gastroesophageal reflux disease (gerd)
regurgitation.1,gastroesophageal reflux disease (gerd)
sharp abdominal pain,gastroesophageal reflux disease (gerd)
sharp chest pain,gastroesophageal reflux disease (gerd)
blood in stool,gastrointestinal hemorrhage
changes in stool appearance,gastrointestinal hemorrhage
diarrhea,gastrointestinal hemorrhage
dizziness,gastrointestinal hemorrhage
fainting,gastrointestinal hemorrhage
melena,gastrointestinal hemorrhage
nausea,gastrointestinal hemorrhage
rectal bleeding,gastrointestinal hemorrhage
sharp abdominal pain,gastrointestinal hemorrhage
vomiting,gastrointestinal hemorrhage
vomiting blood,gastrointestinal hemorrhage
weakness,gastrointestinal hemorrhage
burning abdominal pain,gastroparesis
nausea,gastroparesis
regurgitation,gastroparesis
regurgitation.1,gastroparesis
sharp abdominal pain,gastroparesis
sharp chest pain,gastroparesis
upper abdominal pain,gastroparesis
vomiting,gastroparesis
pain during pregnancy,gestational diabetes
pelvic pressure,gestational diabetes
problems during pregnancy,gestational diabetes
uterine contractions,gestational diabetes
vaginal redness,gestational diabetes
diminished vision,glaucoma
eye redness,glaucoma
foreign body sensation in eye,glaucoma
itchiness of eye,glaucoma
itchy eyelid,glaucoma
lacrimation,glaucoma
pain in eye,glaucoma
spots or clouds in vision,glaucoma
symptoms of eye,glaucoma
diarrhea,glucocorticoid deficiency
lack of growth,glucocorticoid deficiency
shortness of breath,glucocorticoid deficiency
difficulty in swallowing,goiter
fatigue,goiter
hot flashes,goiter
lump in throat,goiter
weight gain,goiter
penile discharge,gonorrhea
problems with movement,gonorrhea
sharp abdominal pain,gonorrhea
vaginal discharge,gonorrhea
vaginal itching,gonorrhea
vaginal pain,gonorrhea
ankle pain,gout
ankle swelling,gout
foot or toe pain,gout
foot or toe swelling,gout
hand or finger pain,gout
hand or finger swelling,gout
joint pain,gout
knee pain,gout
knee swelling,gout
leg swelling,gout
wrist pain,gout
wrist swelling,gout
bleeding gums,gum disease
ear pain,gum disease
facial pain,gum disease
fever,gum disease
gum pain,gum disease
jaw swelling,gum disease
lip swelling,gum disease
mouth ulcer,gum disease
pain in gums,gum disease
peripheral edema,gum disease
toothache,gum disease
foot or toe pain,hammer toe
loss of sensation,hammer toe
skin growth,hammer toe
skin lesion,hammer toe
abnormal involuntary movements,hashimoto thyroiditis
weight gain,hashimoto thyroiditis
difficulty in swallowing,head and neck cancer
hemoptysis,head and neck cancer
hoarse voice,head and neck cancer
mouth pain,head and neck cancer
neck mass,head and neck cancer
plugged feeling in ear,head and neck cancer
sore throat,head and neck cancer
throat feels tight,head and neck cancer
back pain,head injury
dizziness,head injury
double vision,head injury
facial pain,head injury
fainting,head injury
headache,head injury
lip swelling,head injury
neck pain,head injury
dizziness,headache after lumbar puncture
headache,headache after lumbar puncture
low back pain,headache after lumbar puncture
nausea,headache after lumbar puncture
neck pain,headache after lumbar puncture
painful urination,headache after lumbar puncture
vomiting,headache after lumbar puncture
arm pain,heart attack
burning chest pain,heart attack
chest tightness,heart attack
fainting,heart attack
heartburn,heart attack
increased heart rate,heart attack
irregular heartbeat,heart attack
nausea,heart attack
sharp chest pain,heart attack
shortness of breath,heart attack
sweating,heart attack
chest tightness,heart block
dizziness,heart block
fainting,heart block
irregular heartbeat,heart block
palpitations,heart block
peripheral edema,heart block
sharp chest pain,heart block
shortness of breath,heart block
weakness,heart block
weight gain,heart block
depression,heart contusion
elbow weakness,heart contusion
dizziness,heat exhaustion
fainting,heat exhaustion
fluid retention,heat exhaustion
headache,heat exhaustion
sharp chest pain,heat exhaustion
shortness of breath,heat exhaustion
vomiting,heat exhaustion
weakness,heat exhaustion
dizziness,heat stroke
feeling hot,heat stroke
elbow weakness,hemarthrosis
frequent urination,hemarthrosis
knee pain,hemarthrosis
knee swelling,hemarthrosis
abnormal involuntary movements,hemiplegia
arm stiffness or tightness,hemiplegia
difficulty speaking,hemiplegia
headache,hemiplegia
loss of sensation,hemiplegia
problems with movement,hemiplegia
seizures,hemiplegia
slurring words,hemiplegia
weakness,hemiplegia
abnormal appearing skin,hemochromatosis
ache all over,hemochromatosis
difficulty speaking,hemochromatosis
cough,hemolytic anemia
fatigue,hemolytic anemia
nausea,hemolytic anemia
skin growth,hemolytic anemia
bleeding gums,hemophilia
cough,hemophilia
frontal headache,hemophilia
leg pain,hemophilia
blood in stool,hemorrhoids
changes in stool appearance,hemorrhoids
constipation,hemorrhoids
heartburn,hemorrhoids
itching of the anus,hemorrhoids
lower body pain,hemorrhoids
mass or swelling around the anus,hemorrhoids
melena,hemorrhoids
pain of the anus,hemorrhoids
rectal bleeding,hemorrhoids
sharp abdominal pain,hemorrhoids
abusing alcohol,hepatic encephalopathy
depressive or psychotic symptoms,hepatic encephalopathy
fainting,hepatic encephalopathy
fluid retention,hepatic encephalopathy
sharp abdominal pain,hepatic encephalopathy
shortness of breath,hepatic encephalopathy
depression,hepatitis due to a toxin
feeling ill,hepatitis due to a toxin
itching of skin,hepatitis due to a toxin
jaundice,hepatitis due to a toxin
nausea,hepatitis due to a toxin
rectal bleeding,hepatitis due to a toxin
sharp abdominal pain,hepatitis due to a toxin
vomiting,hepatitis due to a toxin
cough,herpangina
decreased appetite,herpangina
fever,herpangina
insomnia,herpangina
mouth ulcer,herpangina
skin rash,herpangina
sore throat,herpangina
swollen lymph nodes,herpangina
vomiting,herpangina
back pain,hiatal hernia
burning abdominal pain,hiatal hernia
difficulty in swallowing,hiatal hernia
dizziness,hiatal hernia
heartburn,hiatal hernia
nausea,hiatal hernia
regurgitation,hiatal hernia
regurgitation.1,hiatal hernia
sharp abdominal pain,hiatal hernia
sharp chest pain,hiatal hernia
upper abdominal pain,hiatal hernia
vomiting blood,hiatal hernia
arm pain,hidradenitis suppurativa
groin mass,hidradenitis suppurativa
skin growth,hidradenitis suppurativa
skin lesion,hidradenitis suppurativa
skin rash,hidradenitis suppurativa
skin swelling,hidradenitis suppurativa
headache,high blood pressure
sharp chest pain,high blood pressure
constipation,hirschsprung disease
emotional symptoms,hirschsprung disease
sharp abdominal pain,hirschsprung disease
abnormal appearing skin,hirsutism
acne or pimples,hirsutism
apnea,hirsutism
unwanted hair,hirsutism
acne or pimples,hormone disorder
excessive growth,hormone disorder
headache,hormone disorder
hot flashes,hormone disorder
lack of growth,hormone disorder
anxiety and nervousness,huntington disease
elbow weakness,huntington disease
diminished vision,hydatidiform mole
dizziness,hydatidiform mole
